<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Roger Burkman,1982,1982,G,6-5,175,May 22 1958,University of Louisville
Alec Burks,2012,2016,G,6-6,214,July 20 1991,University of Colorado
Antonio Burks,2005,2006,G,6-1,200,February 25 1980,University of Memphis
Kevin Burleson,2006,2006,G,6-3,205,April 9 1979,University of Minnesota
Tom Burleson,1975,1981,C,7-2,225,February 24 1952,North Carolina State University
Jack Burmaster,1950,1950,G,6-3,190,December 23 1926,University of Illinois at Urbana-Champaign
David Burns,1982,1982,G,6-2,180,July 3 1958,Saint Louis University
Evers Burns,1994,1994,F,6-8,260,August 24 1971,University of Maryland
Jim Burns,1968,1968,G,6-3,195,September 21 1945,Northwestern University
Scott Burrell,1994,2001,G-F,6-7,218,January 12 1971,University of Connecticut
Art Burris,1951,1952,F,6-5,220,April 7 1924,University of Tennessee
Junior Burrough,1996,1996,F,6-8,242,January 18 1973,University of Virginia
Bob Burrow,1957,1958,C-F,6-7,228,June 29 1934,University of Kentucky
Ed Burton,1962,1965,F,6-6,225,August 13 1939,Michigan State University
Willie Burton,1991,1999,F-G,6-8,210,May 26 1968,University of Minnesota
Steve Burtt,1985,1993,G,6-2,185,November 5 1962,Iona College
Don Buse,1973,1985,G,6-4,190,August 10 1950,University of Evansville
David Bustion,1973,1973,F,6-8,215,August 30 1949,University of Denver
Donnie Butcher,1962,1966,G,6-2,200,February 8 1936,Pikeville College
Al Butler,1962,1965,G,6-2,175,July 9 1938,Niagara University
Caron Butler,2003,2016,F,6-7,228,March 13 1980,University of Connecticut
Greg Butler,1989,1991,C,6-11,240,March 11 1966,Stanford University
Jackie Butler,2005,2007,F-C,6-10,250,March 10 1985,
Jimmy Butler,2012,2016,G-F,6-7,220,September 14 1989,Marquette University
Mike Butler,1969,1972,G,6-2,170,October 22 1946,University of Memphis
Mitchell Butler,1994,2004,G-F,6-5,210,December 15 1970,University of California Los Angeles
Rasual Butler,2003,2016,G-F,6-7,215,May 23 1979,La Salle University
Dwight Buycks,2014,2015,G,6-3,190,March 6 1989,Marquette University
Derrick Byars,2012,2012,F,6-7,220,April 25 1984,Vanderbilt University
Andrew Bynum,2006,2014,C,7-0,285,October 27 1987,
Will Bynum,2006,2015,G,6-0,185,January 4 1983,Georgia Institute of Technology
Walter Byrd,1970,1970,F,6-7,205,,Temple University
Marty Byrnes,1979,1983,F,6-7,215,April 30 1956,Syracuse University
Tommy Byrnes,1947,1951,F-G,6-3,175,February 19 1923,Seton Hall University
Michael Bytzura,1947,1947,F,6-1,170,June 18 1922,Long Island University
