<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Chris Munk,1991,1991,F,6-9,225,August 5 1967,University of Southern California
George Munroe,1947,1948,G,5-11,170,January 5 1922,Dartmouth College
Eric Murdock,1992,2000,G,6-1,190,June 14 1968,Providence College
Gheorghe Muresan,1994,2000,C,7-7,303,February 14 1971,
Allen Murphy,1976,1977,G,6-5,190,July 15 1952,University of Louisville
Calvin Murphy*,1971,1983,G,5-9,165,May 9 1948,Niagara University
Dick Murphy,1947,1947,G,6-1,175,March 10 1921,Manhattan College
Erik Murphy,2014,2014,F,6-10,230,October 26 1990,University of Florida
Jay Murphy,1985,1988,F,6-9,220,June 26 1962,Boston College
John Murphy,1947,1947,F,6-2,175,September 13 1924,
Kevin Murphy,2013,2013,G,6-6,185,March 6 1990,Tennessee Technological University
Ronnie Murphy,1988,1988,F,6-5,225,July 29 1964,Jacksonville University
Tod Murphy,1988,1994,C-F,6-9,220,December 24 1963,University of California Irvine
Troy Murphy,2002,2013,F,6-11,245,May 2 1980,University of Notre Dame
Ken Murray,1951,1955,G-F,6-2,190,April 20 1928,St. Bonaventure University
Lamond Murray,1995,2006,F,6-7,236,April 20 1973,University of California
Ronald Murray,2003,2010,G,6-4,190,July 29 1979,Shaw University
Tracy Murray,1993,2004,F,6-7,225,July 25 1971,University of California Los Angeles
Willie Murrell,1968,1970,F,6-6,225,September 13 1941,Kansas State University
Dorie Murrey,1967,1972,F-C,6-8,215,September 7 1943,University of Detroit Mercy
Toure' Murry,2014,2015,G-F,6-5,195,November 8 1989,Wichita State University
Mike Muscala,2014,2016,F-C,6-11,240,July 1 1991,Bucknell University
Angelo Musi,1947,1949,G,5-9,145,July 25 1918,Temple University
Jerrod Mustaf,1991,1994,F-C,6-10,238,October 28 1969,University of Maryland
Dikembe Mutombo*,1992,2009,C,7-2,245,June 25 1966,Georgetown University
Martin Muursepp,1997,1998,F,6-9,235,September 26 1974,
Pete Myers,1987,1998,G-F,6-6,180,September 15 1963,University of Arkansas at Little Rock
